seed,nodes,E_total_sum(J),E_total_avg_per_node(J),P_avg_per_node(mW),RDC_avg(%)
10,15.0,13.150413,0.876694,0.261,3.32
11,15.0,13.047632,0.869842,0.259,3.31
12,15.0,13.228023,0.881868,0.263,3.32
13,15.0,13.213955,0.88093,0.262,3.32
14,15.0,13.535173,0.902345,0.268,3.34
15,15.0,13.297685,0.886512,0.264,3.33
16,15.0,13.521082,0.901405,0.268,3.33
17,15.0,12.964789,0.864319,0.257,3.31
18,15.0,13.043462,0.869564,0.259,3.32
19,15.0,13.246468,0.883098,0.263,3.32
1,15.0,13.086079,0.872405,0.26,3.31
20,15.0,13.500987,0.900066,0.268,3.33
2,15.0,13.537096,0.902473,0.269,3.33
3,15.0,12.939343,0.862623,0.257,3.31
4,15.0,12.772723,0.851515,0.253,3.31
5,15.0,12.900195,0.860013,0.256,3.32
6,15.0,13.08006,0.872004,0.26,3.32
7,15.0,12.827328,0.855155,0.255,3.31
8,15.0,12.883981,0.858932,0.256,3.31
9,15.0,13.314747,0.88765,0.264,3.32
AVG,15.0,13.154561050000002,0.87697065,0.2611,3.3195
