prr_parent(last)_avg,prr_sender(last)_avg,prr_all_nei_avg_avg,PDR_UL(%)_avg,PDR_UL_attempts(%)_avg,PDR_UL_sent(%)_avg,PDR_UL_per_node_avg(%),UL_Route_Coverage(%),UL_Coverage(%),PDR_DL(%)_avg,PDR_DL_attempts(%)_avg,PDR_DL_sent(%)_avg,PDR_DL_per_node_avg(%),DL_Route_Coverage(%),DL_Coverage(%),UL_delay_ticks_avg,UL_delay_ms_avg,UL_delay_per_node_avg(ms),DL_delay_ticks_avg,DL_delay_ms_avg,DL_delay_per_node_avg(ms),seed
34.49,99.24,91.57,99.25,99.25,99.25,99.25,100.0,100.0,75.4,58.33,75.4,58.33,77.42,62.07,21.51,168.06,168.06,31.36,245.01,245.01,10
26.14,99.53,89.07,99.54,99.54,99.54,99.54,100.0,100.0,91.3,66.07,91.3,66.07,74.63,72.41,51.11,399.32,399.32,21.79,170.2,170.2,11
18.99,99.38,89.39,99.39,99.39,99.39,99.39,100.0,100.0,89.47,73.91,89.47,73.91,82.14,65.52,37.53,293.23,293.23,20.15,157.42,157.42,12
22.03,99.65,91.34,99.59,99.59,99.59,99.59,100.0,100.0,64.91,47.44,64.91,47.44,73.85,48.28,33.23,259.57,259.57,16.21,126.67,126.68,13
18.19,98.97,87.97,98.99,98.99,98.99,98.99,100.0,100.0,98.33,71.8,98.33,71.8,72.31,68.97,9.49,74.15,74.15,58.68,458.46,458.46,14
44.13,99.15,94.21,99.13,99.13,99.13,99.13,100.0,100.0,52.5,35.8,52.5,35.8,72.06,44.83,20.53,160.37,160.37,25.24,197.22,197.22,15
39.37,99.53,93.93,99.54,99.54,99.54,99.54,100.0,100.0,62.28,49.31,62.28,49.31,79.66,51.72,14.01,109.44,109.44,42.11,328.99,328.99,16
25.68,99.53,90.37,99.54,99.54,99.54,99.54,100.0,100.0,75.0,57.69,75.0,57.69,76.19,55.17,22.3,174.21,174.21,30.22,236.08,236.08,17
20.91,99.71,90.91,99.71,99.71,99.71,99.71,100.0,100.0,71.67,52.56,71.67,52.56,76.92,51.72,62.32,486.91,486.91,8.03,62.76,62.76,18
35.66,99.36,91.36,99.36,99.36,99.36,99.36,100.0,100.0,74.56,56.67,74.56,56.67,75.81,58.62,70.59,551.44,551.44,2.22,17.31,17.31,19
25.05,99.33,91.58,99.3,99.3,99.3,99.3,100.0,100.0,78.07,61.81,78.07,61.81,79.66,58.62,26.64,208.09,208.09,37.55,293.35,293.35,1
48.67,99.59,94.81,99.59,99.59,99.59,99.59,100.0,100.0,60.15,41.98,60.15,41.98,73.13,55.17,80.16,626.28,626.28,0.38,2.93,2.93,20
39.56,99.41,91.95,99.42,99.42,99.42,99.42,100.0,100.0,75.83,58.33,75.83,58.33,77.97,62.07,68.93,538.53,538.53,10.69,83.55,83.55,2
25.07,99.53,91.01,99.54,99.54,99.54,99.54,100.0,100.0,80.7,63.89,80.7,63.89,81.36,58.62,5.87,45.82,45.82,71.06,555.15,555.15,3
23.6,99.24,89.44,99.22,99.22,99.22,99.22,100.0,100.0,91.23,75.36,91.23,75.36,80.36,65.52,6.35,49.64,49.64,69.8,545.3,545.3,4
8.91,99.36,88.16,99.36,99.36,99.36,99.36,100.0,100.0,87.72,66.67,87.72,66.67,77.42,58.62,11.89,92.93,92.93,48.52,379.06,379.06,5
14.19,99.18,88.51,99.19,99.19,99.19,99.19,100.0,100.0,78.07,54.94,78.07,54.94,76.47,58.62,40.92,319.68,319.68,25.67,200.52,200.52,6
24.13,99.38,89.83,99.36,99.36,99.36,99.36,100.0,100.0,77.78,60.9,77.78,60.9,77.78,62.07,70.08,547.51,547.51,4.48,35.01,35.01,7
20.72,99.15,90.95,99.16,99.16,99.16,99.16,100.0,100.0,78.33,59.33,78.33,59.33,80.0,55.17,65.97,515.41,515.41,8.15,63.64,63.64,8
24.23,99.56,89.78,99.57,99.57,99.57,99.57,100.0,100.0,83.33,59.26,83.33,59.26,73.53,62.07,83.54,652.67,652.67,5.87,45.86,45.86,9
